region_name,region_code
조원동,11620725
대학동,11620735
삼성동,11620745
미성동,11620765
난곡동,11620775
서초구,11650
서초1동,11650510
서초2동,11650520
서초3동,11650530
서초4동,11650531
잠원동,11650540
반포본동,11650550
반포1동,11650560
반포2동,11650570
반포3동,11650580
반포4동,11650581
방배본동,11650590
방배1동,11650600
방배2동,11650610
방배3동,11650620
방배4동,11650621
양재1동,11650651
양재2동,11650652
내곡동,11650660
강남구,11680
신사동,11680510
논현1동,11680521
논현2동,11680531
압구정동,11680545
청담동,11680565
삼성1동,11680580
삼성2동,11680590
대치1동,11680600
대치2동,11680610
대치4동,11680630
역삼1동,11680640
역삼2동,11680650
도곡1동,11680655
도곡2동,11680656
개포1동,11680660
개포2동,11680670
개포4동,11680690
세곡동,11680700
일원본동,11680720
일원1동,11680730
일원2동,11680740
수서동,11680750
송파구,11710
풍납1동,11710510
풍납2동,11710520
거여1동,11710531
거여2동,11710532
마천1동,11710540
마천2동,11710550
방이1동,11710561
방이2동,11710562
오륜동,11710566
오금동,11710570
송파1동,11710580
송파2동,11710590
석촌동,11710600
삼전동,11710610
가락본동,11710620
가락1동,11710631
가락2동,11710632
문정1동,11710641
문정2동,11710642
장지동,11710646
위례동,11710647
잠실본동,11710650
잠실2동,11710670
잠실3동,11710680
잠실4동,11710690
잠실6동,11710710
잠실7동,11710720
강동구,11740
강일동,11740515
상일동,11740520
명일1동,11740530
명일2동,11740540
고덕1동,11740550
고덕2동,11740560
암사1동,11740570
암사2동,11740580
암사3동,11740590
천호1동,11740600
천호2동,11740610
천호3동,11740620
성내1동,11740640
성내2동,11740650
성내3동,11740660
길동,11740685
둔촌1동,11740690
둔촌2동,11740700
